id,name,age,sex,address 
1310,Mattie Hopper,49,female,Guilford - North Dakota 
1311,Opal Becker,75,female,Hillsboro - Nebraska 
1312,Katina King,24,female,Orviston - New Hampshire 
1313,Clay Nunez,48,male,Buxton - Hawaii 
1314,Eloise Mclaughlin,37,female,Devon - Utah 
1315,Gail Ramos,23,female,Chaparrito - Idaho 
1316,Ruth Campbell,19,female,Nord - Louisiana 
1317,Yvonne Finch,47,female,Hollymead - Nevada 
1318,Pena Little,18,male,Oretta - Wisconsin 
1319,Munoz Shelton,20,male,Holtville - Rhode Island 
1320,Wong Sargent,79,male,Umapine - Delaware 
1321,Hoover Moss,77,male,Bartley - Montana 
1322,Jones Baldwin,72,male,Winfred - South Dakota 
1323,Nina Rich,56,female,Dixonville - Arizona 
1324,Meyers Wilcox,35,male,Juntura - Alaska 
1325,Haney Randall,22,male,Urbana - Ohio 
1326,Durham Alford,21,male,Worcester - Michigan 
1327,Stefanie Becker,54,female,Stockdale - Minnesota 
1328,Gutierrez Allison,18,male,Rosewood - Vermont 
1329,Georgina Hunter,33,female,Teasdale - Washington 
1330,Strong Garrett,76,male,Fairview - Arkansas 
1331,Watson Richard,54,male,Sattley - Nebraska 
1332,Maritza Singleton,76,female,Waterford - South Dakota 
1333,Felecia Simon,20,female,Cedarville - Virginia 
1334,Brandi Dunn,58,female,Garfield - Wyoming 
1335,Dianna Hutchinson,57,female,Falconaire - Indiana 
1336,Kathy Downs,20,female,Alamo - Louisiana 
1337,Holder Ochoa,25,male,Dorneyville - Illinois 
1338,Molly Crawford,29,female,Keyport - Oklahoma 
1339,Mccarthy Savage,29,male,Romeville - Rhode Island 
1340,Snyder Rocha,36,male,Cotopaxi - Colorado 
1341,Lang Serrano,73,male,Homeworth - New Mexico 
1342,Lilly Mann,36,female,Denio - Arizona 
1343,Rojas Finch,47,male,Brenton - New York 
1344,Walls Lindsey,34,male,Wilmington - South Carolina 
1345,Suzette Tate,36,female,Aurora - Maryland 
1346,Salinas Mathis,58,male,Deercroft - North Dakota 
1347,Tricia Bennett,52,female,Longoria - Idaho 
1348,Maxine Hyde,39,female,Kenmar - Nevada 
1349,Marcia Shaw,49,female,Cade - Pennsylvania 
1350,Craft Carey,56,male,Rowe - New Jersey 
1351,Caitlin Hobbs,24,female,Hampstead - Missouri 
1352,Castillo Riley,81,male,Babb - Wisconsin 
1353,Hutchinson Crane,21,male,Dola - Iowa 
1354,April Caldwell,50,female,Worton - Montana 
1355,Love Silva,52,male,Joes - Maine 
1356,Betty Nielsen,30,female,Hackneyville - North Carolina 
1357,Lynette Dillon,20,female,Lopezo - Kentucky 
1358,Melisa Freeman,35,female,Tolu - Tennessee 
1359,Stark Davis,27,male,Rivereno - Alabama 
1360,John Dillard,39,female,Marysville - Hawaii 
1361,Clements Solis,75,male,Derwood - Connecticut 
1362,Fletcher Sims,58,male,Ticonderoga - Kansas 
1363,Hopper Shepherd,20,male,Boonville - West Virginia 
1364,Holden Santana,34,male,Marshall - Utah 
1365,Lambert Gay,27,male,Fairhaven - New Hampshire 
1366,Lacey Dean,59,female,Limestone - Delaware 
1367,Adrian Roman,27,female,Norvelt - Massachusetts 
1368,Faye Boyle,31,female,Utting - Mississippi 
1369,Howell Gonzales,18,male,Whipholt - Oregon 
1370,Phelps Hardin,73,male,Shaft - Georgia 
1371,Weaver Wilkinson,56,male,Rehrersburg - California 
1372,Berry Mendoza,46,male,Noblestown - Texas 
1373,Katina Mason,62,female,Freelandville - Utah 
1374,Gabrielle Martinez,38,female,Chamberino - Tennessee 
1375,Meredith Carey,63,female,Delco - Maryland 
1376,Tucker Wilder,57,male,Kenwood - Florida 
1377,Cruz Wallace,63,male,Vandiver - New York 
1378,Banks Hayes,81,male,Tilden - Alabama 
1379,Amparo Dotson,32,female,Wescosville - Montana 
1380,Guthrie Sears,74,male,Rivereno - Ohio 
1381,Boyle Ramos,26,male,Jugtown - Arkansas 
1382,Sharon Conley,18,female,Delshire - Michigan 
1383,Branch Ball,49,male,Greenbush - Kentucky 
1384,Mildred Rodriguez,77,female,Calvary - Mississippi 
1385,Isabel Preston,20,female,Bascom - North Dakota 
1386,Erica Castillo,30,female,Bethany - Washington 
1387,Lindsey Burgess,22,female,Broadlands - New Mexico 
1388,Forbes Ferrell,40,male,Greenfields - New Jersey 
1389,Campos Walsh,67,male,Lydia - South Dakota 
1390,Debra Justice,23,female,Canoochee - Nebraska 
1391,Blevins Gibbs,19,male,Kapowsin - Texas 
1392,Odessa Bowers,18,female,Loretto - Connecticut 
1393,Ola Vaughan,63,female,Soudan - Nevada 
1394,Josephine Hines,20,female,Mulberry - Delaware 
1395,Weiss Leonard,58,male,Konterra - North Carolina 
1396,Spencer Vazquez,50,male,Como - Idaho 
1397,Sharpe Leon,65,male,Fannett - Arizona 
1398,Cole Baxter,53,male,Florence - Minnesota 
1399,Nichols Mclean,49,male,Lowell - Wyoming 
1400,Holland Bowman,73,male,Belmont - Rhode Island 
1401,Burch Duke,17,male,Trona - Indiana 
1402,Crystal Dean,67,female,Shindler - Oregon 
1403,Juliana Griffith,69,female,Gadsden - California 
1404,Webb Marquez,62,male,Waumandee - Colorado 
1405,Myrtle Gross,19,female,Knowlton - Iowa 
1406,Jana House,69,female,Navarre - Illinois 
1407,Graciela Kerr,34,female,Cliffside - Massachusetts 
1408,Carrie Fox,57,female,Boykin - Maine 
1409,Gallegos Snyder,22,male,Manchester - Hawaii 
1410,Sargent Ware,20,male,Verdi - Wisconsin 
1411,Gena Mason,24,female,Leming - Oklahoma 
1412,Marian Cooke,37,female,Clinton - Alaska 
1413,Hayden Norris,65,male,Fedora - Virginia 
1414,Roberts Gillespie,57,male,Limestone - Georgia 
1415,Walters Nolan,46,male,Bowmansville - South Carolina 
1416,Dunn Raymond,48,male,Ventress - West Virginia 
1417,Faith Fuentes,72,female,Waterview - New Hampshire 
1418,Walker Leach,37,male,Madrid - Louisiana 
1419,Allen Nicholson,19,male,Zortman - Missouri 
1420,Belinda Nguyen,66,female,Fingerville - Pennsylvania 
1421,Koch Lott,73,male,Cetronia - Kansas 
1422,Rosetta Chapman,25,female,Saddlebrooke - Florida 
1423,Maude Ayala,64,female,Goochland - Idaho 
1424,Josefa Holcomb,46,female,Bloomington - Vermont 
1425,Angie Carson,70,female,Lafferty - Mississippi 
1426,Ruthie Conner,24,female,Maury - Iowa 
1427,Annie Castro,18,female,Conway - New Jersey 
1428,Gibbs Sandoval,67,male,Ivanhoe - Utah 
1429,Carolyn Shelton,56,female,Makena - Hawaii 
1430,Helena Reed,20,female,Elrama - Wyoming 
1431,Melinda Guthrie,76,female,Guthrie - Kansas 
1432,Short Dickson,58,male,Fostoria - Nevada 
1433,Montoya Parsons,51,male,Ahwahnee - Connecticut 
1434,Stefanie Mcdonald,66,female,Westphalia - Illinois 
1435,Heidi Craft,28,female,Chalfant - Oklahoma 
1436,Munoz Pitts,68,male,Lithium - South Carolina 
1437,Bauer Caldwell,61,male,Yettem - Delaware 
1438,Griffin Douglas,23,male,Chloride - Michigan 
1439,Marsha Estrada,71,female,Norvelt - Louisiana 
1440,Rene Hammond,42,female,Celeryville - California 
1441,Buck Berg,31,male,Dixonville - Washington 
1442,Tucker Mcfarland,70,male,Belfair - Arizona 
1443,Morton Mcintyre,53,male,Dupuyer - Alaska 
1444,Robbins Woods,39,male,Hailesboro - Ohio 
1445,Ivy Blevins,73,female,Chelsea - Montana 
1446,Stone Colon,68,male,Campo - Alabama 
1447,Tamika Hensley,22,female,Idamay - Missouri 
1448,Ortega Roy,74,male,Winesburg - Tennessee 
1449,Norton Ferrell,80,male,Sunbury - Pennsylvania 
1450,Sellers Hewitt,62,male,Bowmansville - New Mexico 
1451,Hayes Kennedy,21,male,Weedville - Rhode Island 
1452,Lopez Ortega,33,male,Collins - South Dakota 
1453,Sexton Everett,40,male,Elizaville - Maine 
1454,Marie Watts,81,female,Kiskimere - Georgia 
1455,Melva Whitley,75,female,Aberdeen - Minnesota 
1456,Rosella Peck,43,female,Dowling - Indiana 
1457,Brigitte Mcbride,69,female,Avoca - Arkansas 
1458,Collier Patton,52,male,Dixie - Kentucky 
1459,Janna Decker,23,female,Kenvil - Wisconsin 
1460,Billie Kramer,26,female,Vallonia - North Dakota 
1461,Dorothea Spence,45,female,Deercroft - West Virginia 
1462,Robertson Mercado,50,male,Toftrees - Maryland 
1463,Bethany Merritt,37,female,Elliott - Colorado 
1464,Cathy Sampson,40,female,Nescatunga - Nebraska 
1465,Trisha Adkins,41,female,Grenelefe - Texas 
1466,Sophia Navarro,42,female,Ada - Oregon 
1467,Franks Austin,60,male,Waterford - North Carolina 
1468,Johanna Thompson,68,female,Richford - Massachusetts 
1469,Hendricks Nicholson,48,male,Templeton - New York 
1470,Chrystal Cruz,62,female,Eureka - New Hampshire 
1471,Clarissa Snider,54,female,Seymour - Oregon 
1472,Warren Waller,71,male,Bartley - Kansas 
1473,Milagros Parrish,77,female,Crawfordsville - Utah 
1474,Madden Holmes,39,male,Brookfield - West Virginia 
1475,Elsie Armstrong,58,female,Turah - Maryland 
1476,Rowland Hyde,40,male,Coral - Missouri 
1477,Solis Cummings,64,male,Lemoyne - Arkansas 
1478,Mindy Steele,79,female,Deputy - Wisconsin 
1479,Emerson Valentine,73,male,Rodanthe - Colorado 
1480,Wallace Roman,75,male,Crisman - Texas 
1481,Carey Hopkins,17,male,Genoa - Nebraska 
1482,Boyer Russell,33,male,Bartonsville - Massachusetts 
1483,Cooke Mckay,54,male,Kenvil - North Dakota 
1484,Janis Stanton,64,female,Walker - Oklahoma 
1485,Bobbie Mayer,49,female,Joppa - Iowa 
1486,April Lawrence,71,female,Dubois - Illinois 
1487,Dionne Day,53,female,Riegelwood - Georgia 
1488,Roman Hayden,81,male,Datil - Hawaii 
1489,Yvonne Casey,40,female,Dowling - New Jersey 
1490,Graciela Kerr,27,female,Rutherford - Washington 
1491,Margie Everett,39,female,Tetherow - Montana 
1492,Ramirez Williams,51,male,Ironton - New Hampshire 
1493,Jordan Blanchard,81,male,Gasquet - Rhode Island 
1494,Sanchez Rosa,56,male,Fidelis - Michigan 
1495,Bridges Jordan,32,male,Elbert - Alaska 
1496,Kari Martinez,21,female,Grahamtown - Ohio 
1497,Fran Wynn,52,female,Machias - Louisiana 
1498,Evans Nicholson,26,male,Windsor - Mississippi 
1499,Mabel Gardner,58,female,Golconda - Wyoming 
1500,Sheppard Delacruz,41,male,Topanga - Alabama 
1501,Chavez Warren,59,male,Nadine - Idaho 
1502,Cummings Witt,18,male,Durham - New York 
1503,Odom Oneil,70,male,Driftwood - Florida 
1504,Robertson Moon,40,male,Bangor - Connecticut 
1505,Townsend Foster,65,male,Urie - Delaware 
1506,Bender Adams,61,male,Valmy - Vermont 
1507,Sonia Ingram,77,female,Forestburg - Nevada 
1508,Mccall Woodward,38,male,Marion - California 
1509,Bridgett Lynn,28,female,Churchill - Arizona 
1510,Arnold Gamble,61,male,Hampstead - Indiana 
1511,Maddox Frost,31,male,Hilltop - North Carolina 
1512,Loraine Diaz,44,female,Ronco - Minnesota 
1513,Bernice Alexander,79,female,Valle - Kentucky 
1514,Atkins Frank,57,male,Twilight - Maine 
1515,Lorie Olson,38,female,Broadlands - Virginia 
1516,Ewing Myers,24,male,Gerber - Tennessee 
1517,Chaney Perkins,78,male,Cartwright - Pennsylvania 
1518,Nita Franco,54,female,Bascom - New Mexico 
1519,Doyle Golden,52,male,Bellamy - South Dakota 
1520,Vonda Boone,49,female,Wyano - Washington 
1521,Gena Solomon,61,female,Wakulla - Oklahoma 
1522,Colon Bruce,78,male,Oneida - Michigan 
1523,Boyd Sampson,25,male,Brewster - Wisconsin 
1524,Mckee Potter,70,male,Barronett - Minnesota 
1525,Hoover Weeks,30,male,Belmont - South Dakota 
1526,Brennan Christensen,45,male,Fairmount - Tennessee 
1527,Corina Hurley,68,female,Belva - North Dakota 
1528,Lucia Yang,20,female,Ernstville - South Carolina 
1529,Angie Young,44,female,Columbus - Kansas 
1530,Loretta Frye,44,female,Camptown - Arizona 
1531,Mildred Browning,44,female,Murillo - Alaska 
1532,Riddle Lynch,43,male,Flintville - Illinois 
1533,Cohen Mercer,35,male,Chemung - Wyoming 
1534,Bernice Wolfe,75,female,Bison - Iowa 
1535,Cobb Sheppard,43,male,Cartwright - Texas 
1536,Rosalie Hines,79,female,Rivers - New Hampshire 
1537,Norma Copeland,28,female,Babb - New York 
1538,Roslyn Quinn,47,female,Devon - Virginia 
1539,Ramirez Jacobs,42,male,Roderfield - Ohio 
1540,Yvonne Lara,76,female,Springhill - Florida 
1541,Carey Carr,80,male,Calpine - Montana 
1542,Nona Leblanc,23,female,Leland - Pennsylvania 
1543,Neva Brennan,31,female,Calverton - Delaware 
1544,Brandy Schwartz,48,female,Sheatown - North Carolina 
1545,Amalia Stein,40,female,Graniteville - Massachusetts 
1546,Daniel Schroeder,50,male,Topanga - California 
1547,Torres Dickerson,79,male,Newcastle - West Virginia 
1548,Norris Park,73,male,Villarreal - Vermont 
1549,Julia Battle,61,female,Lorraine - Mississippi 
1550,Pat Diaz,61,female,Harrison - New Jersey 
1551,Rutledge Strickland,42,male,Concho - New Mexico 
1552,Tia Mckinney,42,female,Wilmington - Nebraska 
1553,Sherman Watson,61,male,Rehrersburg - Louisiana 
1554,Mcconnell Rutledge,75,male,Deseret - Kentucky 
1555,Jackie Pruitt,46,female,Sehili - Hawaii 
1556,Benjamin Hensley,19,male,Finderne - Alabama 
1557,Sharon Klein,52,female,Drytown - Maine 
1558,Hunt Moss,67,male,Rockbridge - Utah 
1559,Fuentes Morton,75,male,Hollins - Georgia 
1560,Vaughan Wilkinson,52,male,Manila - Nevada 
1561,Emily Leon,42,female,Dellview - Colorado 
1562,Gill Mccall,56,male,Delco - Maryland 
1563,Cathryn Mcintosh,27,female,Austinburg - Connecticut 
1564,Carson Pacheco,69,male,Derwood - Indiana 
1565,Harrison Roberts,28,male,Rodman - Rhode Island 
1566,Tamera Duke,36,female,Beason - Arkansas 
1567,Carlene Waters,80,female,Wanship - Oregon 
1568,Miranda Barnes,63,female,Heil - Missouri 
1569,Whitfield Matthews,36,male,Sunbury - Arizona 
1570,Hays Hendrix,72,male,Chilton - Kansas 
1571,Joy Fitzgerald,48,female,Bloomington - Iowa 
1572,Goff Vincent,30,male,Bluffview - Nebraska 
1573,Gordon Bryan,59,male,Alden - Louisiana 
1574,Hood Mccoy,59,male,Seymour - Rhode Island 
1575,Franklin Whitley,73,male,Eastvale - Utah 
1576,Alyson Kaufman,43,female,Farmington - North Dakota 
1577,Summer Hughes,82,female,Ezel - Colorado 
1578,Allison Page,79,male,Templeton - Ohio 
1579,Latisha Ortiz,29,female,Levant - Wisconsin 
1580,Frank Ferrell,66,male,Cotopaxi - Vermont 
1581,Beck Knapp,64,male,Brogan - Delaware 
1582,Kenya Callahan,75,female,Glenshaw - New Hampshire 
1583,Marian Herman,64,female,Wells - Maryland 
1584,Olson Neal,47,male,Iberia - Oklahoma 
1585,Macias Hyde,29,male,Omar - Oregon 
1586,Jessie Arnold,26,female,Freeburn - Texas 
1587,Rasmussen Perry,77,male,Hegins - New Mexico 
1588,Alma Eaton,36,female,Healy - Minnesota 
1589,Leigh Townsend,42,female,Crown - Idaho 
1590,Francisca Cabrera,64,female,Bascom - Connecticut 
1591,Maritza Frost,54,female,Utting - Florida 
1592,Curry Terrell,26,male,Deltaville - Georgia 
1593,Sweet Sheppard,37,male,Manitou - Nevada 
1594,Alberta Bates,73,female,Kula - Indiana 
1595,Nona Mcknight,71,female,Camino - California 
1596,Adams Reid,80,male,Masthope - Pennsylvania 
1597,Sheree Velez,50,female,Day - West Virginia 
1598,Gonzalez Oneal,38,male,Calverton - South Dakota 
1599,Hardin Nelson,22,male,Wilsonia - Washington 
1600,Bradshaw Collier,31,male,Brownsville - Mississippi 
1601,Ella Spears,78,female,Holcombe - Illinois 
1602,Diann Sullivan,30,female,Coleville - Alaska 
1603,Galloway Blankenship,82,male,Graball - New Jersey 
1604,Pugh Day,43,male,Fedora - Arkansas 
1605,Donaldson Mcguire,67,male,Greensburg - North Carolina 
1606,Aurelia Conway,42,female,Sterling - Michigan 
1607,Lottie Hancock,52,female,Sanborn - Tennessee 
1608,Patsy Schroeder,48,female,Courtland - Alabama 
1609,Robbins Kirkland,19,male,Lowgap - New York 
1610,Pamela Romero,47,female,Volta - Hawaii 
1611,Reilly Vinson,30,male,Carlos - Montana 
1612,Hooper Atkinson,52,male,Sabillasville - Wyoming 
1613,Carissa Waters,78,female,Neibert - South Carolina 
1614,Fry Schultz,40,male,Taycheedah - Kentucky 
1615,Guthrie Humphrey,31,male,Vandiver - Missouri 
1616,Higgins Shelton,47,male,Movico - Maine 
1617,Hattie Chan,75,female,Belfair - Virginia 
1618,Katrina Harrington,68,female,Kieler - Tennessee 
1619,Ratliff Valentine,47,male,Beaverdale - Oregon 
1620,Myrtle Carrillo,53,female,Watchtower - California 
1621,Carla Riddle,77,female,Clarksburg - Kansas 
1622,Obrien Mcclure,77,male,Lumberton - Louisiana 
1623,Bradford Lambert,17,male,Waverly - Montana 
1624,Walls Orr,64,male,Greensburg - Wisconsin 
1625,Oconnor Donovan,32,male,Chaparrito - Illinois 
1626,Glenda West,44,female,Datil - South Carolina 
1627,Finley Clark,75,male,Leyner - Iowa 
1628,Macias Henderson,50,male,Bellamy - New Hampshire 
1629,Soto Garrison,54,male,Roeville - Mississippi 
1630,Mary Sellers,77,female,Woodburn - Kentucky 
1631,Jeanette Payne,68,female,Caberfae - New York 
1632,Aline Dawson,33,female,Rosburg - West Virginia 
1633,Osborn Crawford,39,male,Rockingham - Nevada 
1634,Jeannette Peters,30,female,Nettie - North Carolina 
1635,Christie Neal,81,female,Ilchester - Washington 
1636,Tisha Wyatt,17,female,Loma - Indiana 
1637,Mia Velasquez,30,female,Grayhawk - Connecticut 
1638,Snider Pickett,50,male,Coral - Arkansas 
1639,Luna Nelson,73,male,Valle - Virginia 
1640,Marisol Jensen,17,female,Westerville - Nebraska 
1641,Bolton Porter,36,male,Eden - New Jersey 
1642,White Lindsey,28,male,Stockwell - Alabama 
1643,Erika Hoffman,42,female,Brule - Massachusetts 
1644,Schwartz Logan,75,male,Faxon - Florida 
1645,Trudy Schneider,61,female,Golconda - Colorado 
1646,Glenn Spears,51,male,Fannett - Wyoming 
1647,Valarie Gregory,24,female,Oasis - South Dakota 
1648,Marsh Mcdaniel,66,male,Jacumba - Idaho 
1649,Hilda Mcdowell,68,female,Ellerslie - Oklahoma 
1650,Hanson Jefferson,49,male,Temperanceville - Minnesota 
1651,Sarah Thompson,48,female,Delco - Ohio 
1652,Harriett Griffith,64,female,Herald - Pennsylvania 
1653,Emily Knowles,75,female,Nord - Hawaii 
1654,Esmeralda Case,78,female,Allensworth - Rhode Island 
1655,Bailey Tate,30,male,Kilbourne - Vermont 
1656,Russo Kent,78,male,Oretta - Alaska 
1657,Goodwin Sullivan,41,male,Bath - Maine 
1658,Cox Chen,64,male,Byrnedale - Maryland 
1659,Levine Alston,39,male,Soham - Georgia 
1660,Dale Monroe,44,male,Murillo - Missouri 
1661,Kellie Mcpherson,65,female,Century - Michigan 
1662,Mckay Hays,80,male,Lawrence - Delaware 
1663,Hurley Thornton,39,male,Foxworth - Utah 
1664,Wilcox Bowers,74,male,Woodlands - Arizona 
1665,Hodges Wade,26,male,Twilight - New Mexico 
1666,Wagner Butler,19,male,Dunlo - Texas 
1667,Curtis Reid,77,male,Byrnedale - Wisconsin 
1668,Rosa Patterson,60,female,Sultana - Alabama 
1669,Hughes Mclaughlin,68,male,Westmoreland - Delaware 
1670,Kirsten Pacheco,39,female,Belleview - New Hampshire 
1671,Vicky Ortiz,54,female,Mooresburg - Minnesota 
1672,Luna Collins,34,male,Sheatown - Florida 
1673,Donovan Gates,40,male,Gordon - Tennessee 
1674,Stella Park,64,female,Dale - Louisiana 
1675,Helena Wood,51,female,Lindcove - Arkansas 
1676,Valdez Douglas,44,male,Loveland - West Virginia 
1677,Greta Mullins,67,female,Neahkahnie - Texas 
1678,Weaver Rodgers,77,male,Roland - Arizona 
1679,Sharron Lloyd,48,female,Faywood - Connecticut 
1680,Barnett Moses,27,male,Wakulla - South Dakota 
1681,Britt Berry,37,male,Harleigh - Michigan 
1682,Jacquelyn Ellison,78,female,Clarksburg - Maine 
1683,Inez Ferrell,21,female,Hollymead - Colorado 
1684,Latoya Craig,63,female,Manchester - Utah 
1685,Shelley Reed,38,female,Beaulieu - Iowa 
1686,Landry Macias,43,male,Stewart - Alaska 
1687,Simpson Huff,73,male,Tioga - Vermont 
1688,Mooney Bray,54,male,Blairstown - Idaho 
1689,Hollie Chambers,79,female,Gardners - Mississippi 
1690,Alfreda Carr,18,female,Berlin - Oregon 
1691,Barker Robbins,63,male,Itmann - Nebraska 
1692,Valarie Kirby,37,female,Williston - Pennsylvania 
1693,Cooley Blackburn,25,male,Wheaton - Virginia 
1694,Miriam Ellis,68,female,Oasis - New Mexico 
1695,Hallie Page,82,female,Bangor - New Jersey 
1696,Becker Tyler,34,male,Waiohinu - Washington 
1697,Debbie Swanson,48,female,Robbins - Hawaii 
1698,Naomi Livingston,33,female,Bourg - Wyoming 
1699,Whitfield Franco,59,male,Lloyd - Massachusetts 
1700,Summers Caldwell,79,male,Brecon - Nevada 
1701,Ortiz Stuart,82,male,Saranap - Kentucky 
1702,Jewel Eaton,54,female,Emerald - Maryland 
1703,Thompson Holland,69,male,Lodoga - North Carolina 
1704,Carey Burt,65,male,Iola - Georgia 
1705,Pollard Kim,54,male,Kieler - Rhode Island 
1706,Monique Kane,78,female,Norwood - South Carolina 
1707,Mayra Velazquez,40,female,Enlow - Indiana 
1708,Craig Blanchard,75,male,Foscoe - North Dakota 
1709,Adeline Brown,82,female,Hailesboro - Montana 
1710,Gloria Barry,66,female,Wildwood - Ohio 
1711,West Rose,25,male,Charco - Oklahoma 
1712,Coffey Kent,31,male,Leland - Kansas 
1713,Deanna Black,76,female,Chumuckla - California 
1714,Baird Sanchez,75,male,Ladera - Missouri 
1715,Sheri Munoz,45,female,Bedias - New York 
1716,Knox Martinez,60,male,Lawrence - South Carolina 
1717,Ester Tran,17,female,Belmont - Indiana 
1718,Malinda Barker,75,female,Falmouth - Georgia 
1719,Meghan Kinney,32,female,Coaldale - Virginia 
1720,Sherry Carroll,28,female,Hendersonville - New Hampshire 
1721,Lane Patton,79,male,Wakarusa - South Dakota 
1722,Selena Bailey,53,female,Sattley - Tennessee 
1723,Francine Haney,75,female,Hiko - Delaware 
1724,Hoffman Bird,34,male,Brantleyville - Montana 
1725,Ochoa Page,51,male,Eggertsville - Idaho 
1726,Jeannette Washington,56,female,Thomasville - New York 
1727,Hancock Banks,19,male,Coral - Florida 
1728,Griffith Sims,52,male,Marion - New Mexico 
1729,Daisy Brady,49,female,Lowgap - Minnesota 
1730,Wooten Vargas,17,male,Berlin - New Jersey 
1731,Cecilia Strong,72,female,Balm - Arizona 
1732,Rivas Rice,58,male,Murillo - Maine 
1733,Alexis Suarez,27,female,Clarence - West Virginia 
1734,Koch Phelps,63,male,Sparkill - Iowa 
1735,Maritza Holman,46,female,Magnolia - California 
1736,Cobb Ward,30,male,Crenshaw - Alaska 
1737,Rice Jarvis,47,male,Hardyville - Oklahoma 
1738,Bowers Warner,35,male,Selma - Oregon 
1739,Crosby Rojas,53,male,Fostoria - Kentucky 
1740,Mariana Sweeney,55,female,Katonah - Hawaii 
1741,Snider Malone,55,male,Westphalia - Nebraska 
1742,Valarie Landry,41,female,Sanford - Massachusetts 
1743,Marilyn Meyer,73,female,Columbus - Connecticut 
1744,Cara Garza,36,female,Waterford - Utah 
1745,Cameron Ford,41,male,Cassel - Pennsylvania 
1746,Marks Farmer,25,male,Maxville - Colorado 
1747,Joyce Herrera,47,male,Robinson - North Dakota 
1748,Alyssa Buckner,43,female,Vincent - Wisconsin 
1749,Jody West,23,female,Whitewater - Vermont 
1750,Hallie King,38,female,Greenbackville - Louisiana 
1751,Yesenia Singleton,75,female,Mulberry - North Carolina 
1752,Fulton Hill,51,male,Mayfair - Washington 
1753,Opal Vang,74,female,Kansas - Texas 
1754,Simpson Parker,81,male,Hartsville/Hartley - Mississippi 
1755,Aurelia Lynch,64,female,Makena - Maryland 
1756,Bobbi Hamilton,62,female,Topanga - Rhode Island 
1757,Kirby Crawford,52,male,Sylvanite - Ohio 
1758,Merrill Mcdonald,24,male,Gorham - Alabama 
1759,Fitzgerald Huber,19,male,Cuylerville - Missouri 
1760,Dora Becker,55,female,Croom - Illinois 
1761,Colette Andrews,81,female,Snowville - Nevada 
1762,Ashley Santos,74,female,Davenport - Michigan 
1763,Keisha Hodge,63,female,Babb - Wyoming 
1764,Kirsten Oneal,72,female,Wescosville - Kansas 
1765,Meyers Workman,55,male,Sidman - Kentucky 
1766,Elnora Warren,68,female,Chloride - Connecticut 
1767,Christy Robinson,21,female,Russellville - Arizona 
1768,Maura Ware,80,female,Dyckesville - South Carolina 
1769,Swanson Winters,26,male,Devon - Alaska 
1770,Margie Hebert,75,female,Albrightsville - Michigan 
1771,Carrie Blackwell,35,female,Allendale - Georgia 
1772,Conley Cash,43,male,Virgie - South Dakota 
1773,Woodward Drake,43,male,Laurelton - New Jersey 
1774,Crane Rivas,30,male,Roeville - Missouri 
1775,Kaye Reed,56,female,Jenkinsville - Alabama 
1776,Marylou Brown,30,female,Watrous - California 
1777,Norris Bauer,23,male,Blodgett - Virginia 
1778,Lupe Solis,19,female,Williamson - Ohio 
1779,Martinez Sheppard,45,male,Colton - Florida 
1780,Hardy Wilson,17,male,Freeburn - Nevada 
1781,Velazquez Wilcox,58,male,Golconda - Nebraska 
1782,Harmon Sparks,32,male,Eden - Maryland 
1783,Rios Grimes,62,male,Maxville - Washington 
1784,Maggie Browning,45,female,Tuttle - Louisiana 
1785,Pollard Wallace,53,male,Catherine - Idaho 
1786,Sonya Ayers,41,female,Wawona - New York 
1787,Lila Lamb,82,female,Columbus - Rhode Island 
1788,Wheeler Macdonald,74,male,Lowell - Vermont 
1789,Guerrero Brady,65,male,Matheny - Hawaii 
1790,Summer Dixon,64,female,Bainbridge - Pennsylvania 
1791,Alma Reilly,54,female,Whitestone - West Virginia 
1792,Hebert Delacruz,52,male,Belvoir - Minnesota 
1793,Muriel Knight,32,female,Falmouth - Utah 
1794,Janice Kline,39,female,Stouchsburg - Indiana 
1795,Gabriela Kelley,31,female,Tuskahoma - Iowa 
1796,Queen Whitaker,31,female,Witmer - Texas 
1797,Reid Caldwell,79,male,Riviera - North Carolina 
1798,Paul Noel,64,male,Enetai - Oregon 
1799,Jo Dyer,25,female,Wilsonia - Mississippi 
1800,Dorthy Hall,67,female,Enlow - Oklahoma 
1801,Nancy Combs,31,female,Martell - New Hampshire 
1802,Ebony Buchanan,30,female,Ribera - Maine 
1803,Prince Rivera,47,male,Freetown - Montana 
1804,Ruiz Wiggins,47,male,Turah - Colorado 
1805,Bryant Bryan,20,male,Harrison - Kansas 
1806,Cline Hughes,50,male,Kingstowne - New Mexico 
1807,Rosario Humphrey,25,female,Vernon - Massachusetts 
1808,Joy Neal,22,female,Urbana - Wisconsin 
1809,Hobbs Dickson,80,male,Delwood - North Dakota 
1810,Mccormick Downs,43,male,Highland - Delaware 
1811,Leann Black,19,female,Elliott - Illinois 
1812,Jacobson Lester,17,male,Holtville - Tennessee 
1813,Yesenia Nolan,75,female,Templeton - Wyoming 
1814,Bernice Chang,26,female,Walland - Montana 
1815,Shelly Pickett,24,female,Heil - Oklahoma 
1816,Lorene Reynolds,49,female,Kapowsin - West Virginia 
1817,Bentley Roberson,72,male,Ladera - Minnesota 
1818,Leblanc Hancock,73,male,Sardis - Hawaii 
1819,Christina Hooper,52,female,Magnolia - Indiana 
